Cores, Actual, Ideal
1,19698510.52,19698510.52
2,27160628.25,39397021.03
3,40479813.88,59095531.55
4,54727290.08,78794042.07
5,68616446.84,98492552.59
6,82197798.96,118191063.1
7,96212914.42,137889573.6
8,109870795.7,157588084.1
9,118887361.1,177286594.7
10,129166721.8,196985105.2
11,144761944.3,216683615.7
12,150322737.7,236382126.2
13,172821321.9,256080636.7
14,186012781,275779147.2
15,196616933.8,295477657.8
16,212763099.6,315176168.3
17,219126146.1,334874678.8
18,229226683.6,354573189.3
19,240720199,374271699.8
20,256540771.6,393970210.3
21,269099627.2,413668720.9
22,281695319.5,433367231.4
23,295267486.4,453065741.9
24,303894472.4,472764252.4
25,309520979.7,492462762.9
26,316713529.3,512161273.5
27,330857466.8,531859784
28,345645811.2,551558294.5
29,357291567,571256805
30,368109975,590955315.5
31,381184909,610653826
32,392442202.8,630352336.6
33,390327945.5,650050847.1
34,401567923.5,669749357.6
35,412556210,689447868.1
36,423322249.6,709146378.6
37,435737650.3,728844889.1
38,446760135.8,748543399.7
39,459080548,768241910.2
40,467545485.1,787940420.7
41,469383474.5,807638931.2
42,468649818.9,827337441.7
43,478189570.5,847035952.2
44,493713929.5,866734462.8
45,504350801.6,886432973.3
46,512351724.9,906131483.8
47,526101175.8,925829994.3
48,536408020.3,945528504.8
49,525125966.3,965227015.4
50,530347279.6,984925525.9
51,541829301.7,1004624036
52,547627555.7,1024322547
53,560572337.6,1044021057
54,573147630.4,1063719568
55,582960363.7,1083418078
56,592853890.2,1103116589
57,579116154.4,1122815099
58,577985982.2,1142513610
59,586626392.2,1162212121
60,601401914.1,1181910631
61,608134911.6,1201609142
62,621509915.5,1221307652
63,629115464.7,1241006163
64,635776117.7,1260704673
65,620347289.9,1280403184
66,616388979.5,1300101694
67,625006438,1319800205
68,639943975.6,1339498715
69,649199746.9,1359197226
70,659837034.7,1378895736
71,662641438.3,1398594247
72,674675799.6,1418292757
73,657437843.6,1437991268
74,650275877.8,1457689778
75,664251365.4,1477388289
76,671246750.6,1497086799
77,682950053.9,1516785310
78,687288741.7,1536483820
79,703224447.6,1556182331
80,706079795.5,1575880841
81,690979702.2,1595579352
82,687334027.8,1615277862
83,690962870.3,1634976373
84,696631594.8,1654674883
85,700932424.8,1674373394
86,717274294.8,1694071904
87,718770959.7,1713770415
88,730588310,1733468926
89,709229401.4,1753167436
90,702705862,1772865947
91,703097353.8,1792564457
92,715861951.1,1812262968
93,728324014.9,1831961478
94,739718233.4,1851659989
95,741885143.4,1871358499
96,753529078.9,1891057010
97,725387441.7,1910755520
98,723800947.8,1930454031
99,716555149.5,1950152541
100,725661052.9,1969851052
101,739501500.9,1989549562
102,732965916,2009248073
103,751634412.4,2028946583
104,768913530.9,2048645094
105,735838140.6,2068343604
106,720771843.7,2088042115
107,726831743.3,2107740625
108,739523378.8,2127439136
109,748848434.7,2147137646
110,752189251.2,2166836157
111,760511301.9,2186534667
112,765095570.9,2206233178
