"Key","Min","Mean","Max","Stdev","Range","Variability"
"015|008",284.65097745516294,288.06876296262067,290.61877636244367,1.4597037040922074,5.967798907280724,0.02071657768758182
"055|008",289.79559423263635,297.07901079141874,303.76052257708005,4.590354992157952,13.964928344443706,0.04700745538111604
"035|008",297.36386021369464,299.945577404379,301.7212516404191,1.2465362454727444,4.357391426724462,0.014527273462178567
"015|032",1093.8383850141693,1103.6458922126415,1113.1742623239832,3.736881105224636,19.335877309813895,0.017520001158205206
"055|032",1114.4406060431838,1152.67625011363,1174.5469544676475,21.36867350377434,60.106348424463704,0.0521450393538849
"035|032",1140.2541827147097,1156.486970576292,1167.1606361719153,5.989388454650628,26.906453457205544,0.02326567799012705
"035|056",1731.3598093623825,1820.9953855245617,1846.0607812587384,16.70176754502822,114.7009718963559,0.06298806290676831
"055|056",1755.321325201929,1801.5789878197895,1843.0853718021874,23.988931668344552,87.76404660025833,0.04871507005444565
"015|056",1778.7526312700643,1791.2329605571929,1805.5152795800625,6.142962799332176,26.762648309998212,0.014940908803773488
"015|088",2183.779236043219,2210.644979450431,2235.387300879863,13.168763150879538,51.608064836643734,0.02334525232064787
"055|088",2215.559925996185,2323.2676523173477,2380.876568795018,30.64475667036738,165.31664279883307,0.07115695113042084
"035|088",2286.455462193985,2332.21917974419,2360.1765080026403,16.147197827022833,73.72104580865516,0.03160982743343242
"015|112",2327.0092432903903,2354.704420615899,2389.000996661797,16.86610534633421,61.99175337140696,0.026326766463194703
"035|112",2419.77486617501,2460.9785516553834,2488.9232076688127,11.650211019312595,69.14834149380249,0.028097904976575147
"055|112",2440.2996091920636,2480.1654561125088,2522.140367646475,17.926832553908152,81.84075845441157,0.03299810432110905
