Cores,Actual,Ideal
1,17925851.82,17925851.82
2,27435363.32,35851703.64
3,32020817.69,53777555.46
4,47239328.13,71703407.28
5,48844923.33,89629259.1
6,55587536.86,107555110.9
7,56964618.37,125480962.7
8,80213667.01,143406814.6
9,68722267.39,161332666.4
10,75095488.53,179258518.2
11,78961814.2,197184370
12,94395276.6,215110221.8
13,83158952.19,233036073.7
14,86902849.7,250961925.5
15,91279088.16,268887777.3
16,112652799.5,286813629.1
17,101049168.4,304739480.9
18,119482796.8,322665332.8
19,101967395.4,340591184.6
20,121521455.9,358517036.4
21,111589974.9,376442888.2
22,110264288.4,394368740
23,114443972.6,412294591.9
24,138982938,430220443.7
25,127541312.4,448146295.5
26,102939840.3,466072147.3
27,153518858.6,483997999.1
28,124670950.1,501923851
29,111899003.3,519849702.8
30,136030065.6,537775554.6
31,120739951.8,555701406.4
32,154566343.6,573627258.2
33,127325285.7,591553110.1
34,133701008.2,609478961.9
35,144402044,627404813.7
36,168416486.8,645330665.5
37,132862017.7,663256517.3
38,135478730.7,681182369.2
39,119125061.2,699108221
40,162188238.1,717034072.8
41,115727205.4,734959924.6
42,145362698.1,752885776.4
43,123487647,770811628.3
44,149533687,788737480.1
45,159280709,806663331.9
46,149322725.2,824589183.7
47,148926437.2,842515035.5
48,158436928.4,860440887.4
49,147276588.7,878366739.2
50,181758900.1,896292591
51,158649555.9,914218442.8
52,138540398.3,932144294.6
53,141701886.6,950070146.5
54,164731418.3,967995998.3
55,145993181.3,985921850.1
56,157250754.2,1003847702
57,151960268.6,1021773554
58,135849433.5,1039699406
59,143178834.5,1057625257
60,195384943,1075551109
61,151841985.6,1093476961
62,158978837.8,1111402813
63,181954179.6,1129328665
64,205506112.8,1147254516
65,149315373.8,1165180368
66,175392178.6,1183106220
67,157017282.8,1201032072
68,166757797.3,1218957924
69,143125323.2,1236883776
70,159323055.1,1254809627
71,150699696,1272735479
72,177587354,1290661331
73,170217640.1,1308587183
74,179052497.4,1326513035
75,184496273.2,1344438887
76,178120120.4,1362364738
77,145610631.7,1380290590
78,161912985.5,1398216442
79,169113104.5,1416142294
80,244397666.8,1434068146
81,210115736.9,1451993997
82,181152680,1469919849
83,174647078.2,1487845701
84,227335265.9,1505771553
85,193113989.4,1523697405
86,198261643.8,1541623257
87,194158113.5,1559549108
88,230101345,1577474960
89,200083104.7,1595400812
90,240832294.6,1613326664
91,182371816.2,1631252516
92,217781585.5,1649178367
93,223182959.5,1667104219
94,244031131.9,1685030071
95,210902507.1,1702955923
96,268751049.2,1720881775
97,204791785.1,1738807627
98,233093759,1756733478
99,225002252.4,1774659330
100,291158037.8,1792585182
101,233511411.3,1810511034
102,243750252.2,1828436886
103,234683224.3,1846362737
104,234947331.7,1864288589
105,277750848.5,1882214441
106,229575652,1900140293
107,228018141.4,1918066145
108,264374446.9,1935991997
109,219520294.3,1953917848
110,255498853.1,1971843700
111,231346021.6,1989769552
112,296690575.2,2007695404
